"locus_tag","logFC","logCPM","F","PValue","FDR","gene_name","spi","DE"
"SL1344_2867",-5.67703755655879,7.58775287433401,321.494318025502,1.07500817262386e-07,3.31256089764238e-06,"spaR","SPI-1","Attenuated"
"SL1344_4073",3.05488722417124,7.61376488006968,317.799747566009,1.12424031281884e-07,3.41704481758262e-06,"argH","-","Amplified"
"SL1344_3560",3.53497956760842,9.14490508881464,317.254137077226,1.13174830245726e-07,3.41704481758262e-06,"STM3595",NA,"Amplified"
"SL1344_3130",-4.02827771401506,6.18302516395029,317.186870805494,1.13267827750189e-07,3.41704481758262e-06,"STM3156",NA,"Attenuated"
"SL1344_1119",-3.3939351466155,6.98161905192626,316.225126100385,1.14607993802219e-07,3.43346448099148e-06,"flgJ","-","Attenuated"
"SL1344_1848",-2.94401864489154,7.30427803083873,315.394413502836,1.15781591109942e-07,3.44470195895373e-06,"flhAa","-","Attenuated"
"SL1344_1113",-4.37242697003711,8.20472821117696,314.087783728104,1.17658172160802e-07,3.47655722398423e-06,"flgD","-","Attenuated"
"SL1344_2864",-7.76090027960473,12.1093221924203,312.629466224997,1.19797821004644e-07,3.51569931846282e-06,"sipB","SPI-1","Attenuated"
"SL1344_1354",5.94367419990201,7.65787308223127,311.673900231555,1.2122629890536e-07,3.52480750576242e-06,"ssaS","SPI-2","Amplified"
"SL1344_1121",-4.45100870222245,9.07342680738115,311.245376785774,1.21873826641156e-07,3.52480750576242e-06,"flgL","-","Attenuated"
"SL1344_0587",4.76814543378778,6.0497888711918,310.794791397806,1.22559370854048e-07,3.52480750576242e-06,"ybdB","-","Amplified"
"SL1344_1656",3.51498864690486,7.28291903450896,309.877767956697,1.23969561051402e-07,3.54175288990561e-06,"trpC","-","Amplified"
"SL1344_2221",3.93218452943249,8.15901052252954,305.972652347093,1.30207391253846e-07,3.69549135440193e-06,"STM2245",NA,"Amplified"
"SL1344_3093",8.92425885934254,10.5853994750363,311.601900747528,1.37304062680637e-07,3.86347008933445e-06,"STM3119",NA,"Amplified"
"SL1344_1473",3.38771655963918,7.94559151173018,301.240028382475,1.38303592288813e-07,3.86347008933445e-06,"pqaA","-","Amplified"
"SL1344_3482",-2.87322033705419,9.09875811790218,300.954097289312,1.38812671267232e-07,3.86347008933445e-06,"malT","-","Attenuated"
"SL1344_1302",-2.75479279343371,5.98292011928937,299.388228560915,1.41642590866342e-07,3.91696241664999e-06,"STM1368",NA,"Attenuated"
"SL1344_3407",2.98273876473884,10.8407767141845,295.586858562023,1.48819298882851e-07,4.08921309159631e-06,"rplC",NA,"Amplified"
"SL1344_1904",-4.41193807665732,6.95924082458279,294.544199419898,1.50866916536407e-07,4.1192397337852e-06,"fliL","-","Attenuated"
"SL1344_1842",3.72879106113083,7.5978667654152,293.146674713232,1.53667104181679e-07,4.15640145456762e-06,"cutC","-","Amplified"
"SL1344_0195",3.4220995742643,6.33875184795896,292.5309124342,1.54921542293794e-07,4.15640145456762e-06,"fhuB","-","Amplified"
"SL1344_1204",2.70394652374121,8.40808241179872,292.43486463504,1.55118366756001e-07,4.15640145456762e-06,"aroQ","-","Amplified"
"SL1344_2851",-6.74563074298407,10.842853747898,291.711852133342,1.56610086937561e-07,4.17046861141136e-06,"prgK","SPI-1","Attenuated"
"SL1344_3406",2.90235039052881,10.8476998474489,289.807063801904,1.60626965494075e-07,4.25119465730944e-06,"rplD",NA,"Amplified"
"SL1344_0909",3.23974053967975,10.3085985865401,289.214767025024,1.61902259912736e-07,4.25207739481665e-06,"sopD2","SPI-2","Amplified"
"SL1344_1120",-4.54342667493509,9.58670543771368,288.878648112723,1.62631611067396e-07,4.25207739481665e-06,"flgK","-","Attenuated"
"SL1344_4235",-3.99876643464231,5.95250025895498,288.274746987825,1.63952397965988e-07,4.26078701701971e-06,"melA","-","Attenuated"
"SL1344_1337",4.5859160276529,8.29276822988461,285.568769780771,1.70038306743337e-07,4.37145478628596e-06,"sscB","SPI-2","Amplified"
"SL1344_1896",-5.14576889793365,5.96937839718524,285.482277370723,1.70237460383876e-07,4.37145478628596e-06,"STM1967",NA,"Attenuated"
"SgrS",-2.99737299431785,8.37209849238669,283.529346941752,1.74812984955526e-07,4.46238589998899e-06,"SgrS","-","Attenuated"
"SL1344_1333",5.27767549284038,9.97142484337489,282.805786221709,1.76547257707602e-07,4.48014629265056e-06,"sscA","SPI-2","Amplified"
"SL1344_0193",3.96531527133389,5.36195391179379,277.82801785742,1.89081412404597e-07,4.77015914101422e-06,"fhuC","-","Amplified"
"SL1344_2215",4.73225045849577,5.76743120943457,276.867016395929,1.9162825267823e-07,4.80630396542955e-06,"STM2239",NA,"Amplified"
"SL1344_2577",-2.649606109767,6.00851539247321,275.208498742618,1.96125556276138e-07,4.89066849581075e-06,"STM2614",NA,"Attenuated"
